"","Scenario","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"1","Status quo",69704,194,0,3206,-99.7216802479054,457,39,34.425,48,-91.4660831509847,202,22,7,49,-89.1089108910891
"2","Survival (high)",69810,1166,23,7419,-98.3297521845008,457,92,82,102,-79.8687089715536,202,60.5,34,92,-70.049504950495
"3","Survival (low)",69853,26,0,1076,-99.9627789787124,457,16,10,20,-96.4989059080963,202,5,1,15,-97.5247524752475
"4","Survival (very low)",69808,3,0,267,-99.995702498281,457,4,1.425,7,-99.1247264770241,202,1,0,3,-99.5049504950495
"5","Max density (high)",70354,202,0,3035,-99.7128805753759,457,43,32,48,-90.5908096280088,202,23,8,51,-88.6138613861386
"6","Max density (low)",70083,229,0,3155,-99.6732445814249,457,42,35,50,-90.8096280087527,202,28,8,51,-86.1386138613861
"7","Immigration (very high)",70065,2920,77,15904,-95.832441304503,457,101,91.425,114,-77.8993435448578,202,61.5,35,88,-69.5544554455445
"8","Immigration (high)",70026,748,7,6670,-98.9318253220232,457,63,54.425,73,-86.2144420131291,202,40,18,70,-80.1980198019802
"9","Immigration (zero)",70157,54,0,1513,-99.9230297760737,457,21.5,15,24,-95.2954048140044,202,8,0,31,-96.039603960396
"10","Climate warming (low)",70218,259,1,3837,-99.6311487083084,457,44,36,51,-90.3719912472648,202,24.5,9,52,-87.8712871287129
"11","Climate warming (medium)",69696,250,2,4002,-99.6412993572085,457,44,36.425,53,-90.3719912472648,202,28.5,10,56,-85.8910891089109
"12","Climate warming (high)",70147,272,3,4429,-99.6122428614196,457,45,39.425,55,-90.1531728665208,202,31,8,53,-84.6534653465346
"13","Sea-level rise (low)",70045,186,0,3006,-99.7344564208723,457,39,32,48.575,-91.4660831509847,202,25,7,53,-87.6237623762376
"14","Sea-level rise (medium)",69656,170,2,3036,-99.7559434937407,457,41,34.425,46.575,-91.0284463894967,202,23.5,7,51,-88.3663366336634
"15","Sea-level rise (high)",70018,222,1,3223,-99.6829386729127,457,41,34.425,49,-91.0284463894967,202,26,7,51,-87.1287128712871
"16","Urbanization (low)",69760,138,3,2676,-99.8021788990826,457,35,29,43,-92.3413566739606,202,19,7,49,-90.5940594059406
"17","Urbanization (medium)",69794,172,0,2597,-99.7535604779781,457,35,27,41.575,-92.3413566739606,202,19.5,7,42,-90.3465346534654
"18","Urbanization (high)",69784,144,0,2490,-99.7936489739768,457,34,26.425,41.575,-92.5601750547046,202,15,5,44,-92.5742574257426
"19","Management (high)",69141,214,1,3263,-99.6904875544178,457,41,34,48,-91.0284463894967,202,23.5,8,50,-88.3663366336634
"20","Management (low)",69620,176,4,3206,-99.7471990807239,457,38,32.425,45,-91.6849015317287,202,22,8,49,-89.1089108910891
"21","Management (very low)",69935,136,0,2859,-99.8055337098734,457,37,28,44,-91.9037199124727,202,23,7,47,-88.6138613861386
"22","Low threats",69768,212,1,3662,-99.6961357642472,457,38,31.425,47.575,-91.6849015317287,202,20,9,53,-90.0990099009901
"23","Medium threats",69834,186,1,3705,-99.7336540939943,457,38.5,32,44.575,-91.5754923413567,202,17.5,9,48,-91.3366336633663
"24","High threats",69820,191,0,3528,-99.7264394156402,457,40,32,46.575,-91.2472647702407,202,24,6,48,-88.1188118811881
"25","Management (high) + medium threats",69710,217,1,3663,-99.6887103715392,457,41,31,49,-91.0284463894967,202,21.5,7,51,-89.3564356435644
"26","Management (low) + medium threats",69594,156,0,3585,-99.7758427450642,457,36,31.425,44,-92.1225382932166,202,20,7,46,-90.0990099009901
"27","Management (very low) + medium threats",69422,200,1,3238,-99.7119068883063,457,36,29.425,42,-92.1225382932166,202,16,8,44,-92.0792079207921
"28","Survival (high) + medium threats",70134,1104,31,8680,-98.4258704765164,457,87,77.425,99,-80.9628008752735,202,54,31,88,-73.2673267326733
"29","Survival (low) + medium threats",69986,26,0,1184,-99.9628497127997,457,13.5,10,19,-97.0459518599562,202,5,1,14,-97.5247524752475
"30","Immigration (very high) + medium threats",70082,2288,118,14166,-96.7352529893553,457,96,87,107,-78.9934354485777,202,56,30,86,-72.2772277227723
"31","Immigration (high) + medium threats",69457,594,11,6429,-99.1447946211325,457,60,52.425,69.15,-86.870897155361,202,35,17,64,-82.6732673267327
"32","Immigration (zero) + medium threats",70198,64,0,1929,-99.9088293113764,457,21,18,27.575,-95.4048140043764,202,7,1,34,-96.5346534653465
