"","Scenario","Extant","ExtantPerc","VLikelyExtant","VLikelyExtantPerc","LikelyExtant","LikelyExtantPerc","UnlikelyExtant","UnlikelyExtantPerc"
"1","Status quo",0,0,2,0.00437636761487965,12,0.0262582056892779,443,0.969365426695842
"2","Survival (high)",0,0,12,0.0262582056892779,57,0.12472647702407,388,0.849015317286652
"3","Survival (low)",0,0,0,0,3,0.00656455142231947,454,0.993435448577681
"4","Survival (very low)",0,0,0,0,0,0,457,1
"5","Max density (high)",0,0,1,0.00218818380743982,15,0.0328227571115974,441,0.964989059080963
"6","Max density (low)",0,0,0,0,14,0.0306345733041575,443,0.969365426695842
"7","Immigration (very high)",5,0.0109409190371991,11,0.0240700218818381,64,0.140043763676149,377,0.824945295404814
"8","Immigration (high)",0,0,5,0.0109409190371991,27,0.0590809628008753,425,0.929978118161926
"9","Immigration (zero)",0,0,0,0,5,0.0109409190371991,452,0.989059080962801
"10","Climate warming (low)",0,0,2,0.00437636761487965,14,0.0306345733041575,441,0.964989059080963
"11","Climate warming (medium)",0,0,2,0.00437636761487965,13,0.0284463894967177,442,0.967177242888403
"12","Climate warming (high)",0,0,2,0.00437636761487965,18,0.0393873085339169,437,0.956236323851203
"13","Sea-level rise (low)",0,0,1,0.00218818380743982,13,0.0284463894967177,443,0.969365426695842
"14","Sea-level rise (medium)",0,0,0,0,11,0.0240700218818381,446,0.975929978118162
"15","Sea-level rise (high)",0,0,2,0.00437636761487965,10,0.0218818380743982,445,0.973741794310722
"16","Urbanization (low)",0,0,1,0.00218818380743982,11,0.0240700218818381,445,0.973741794310722
"17","Urbanization (medium)",0,0,1,0.00218818380743982,11,0.0240700218818381,445,0.973741794310722
"18","Urbanization (high)",0,0,0,0,14,0.0306345733041575,443,0.969365426695842
"19","Management (high)",0,0,1,0.00218818380743982,13,0.0284463894967177,443,0.969365426695842
"20","Management (low)",0,0,1,0.00218818380743982,10,0.0218818380743982,446,0.975929978118162
"21","Management (very low)",0,0,0,0,9,0.0196936542669584,448,0.980306345733042
"22","Low threats",0,0,2,0.00437636761487965,13,0.0284463894967177,442,0.967177242888403
"23","Medium threats",0,0,1,0.00218818380743982,9,0.0196936542669584,447,0.978118161925602
"24","High threats",0,0,0,0,13,0.0284463894967177,444,0.971553610503282
"25","Management (high) + medium threats",0,0,0,0,12,0.0262582056892779,445,0.973741794310722
"26","Management (low) + medium threats",0,0,0,0,12,0.0262582056892779,445,0.973741794310722
"27","Management (very low) + medium threats",0,0,1,0.00218818380743982,13,0.0284463894967177,443,0.969365426695842
"28","Survival (high) + medium threats",1,0.00218818380743982,13,0.0284463894967177,49,0.107221006564551,394,0.862144420131291
"29","Survival (low) + medium threats",0,0,0,0,2,0.00437636761487965,455,0.99562363238512
"30","Immigration (very high) + medium threats",2,0.00437636761487965,15,0.0328227571115974,51,0.111597374179431,389,0.851203501094092
"31","Immigration (high) + medium threats",0,0,3,0.00656455142231947,20,0.0437636761487965,434,0.949671772428884
"32","Immigration (zero) + medium threats",0,0,0,0,7,0.0153172866520788,450,0.984682713347921
