"Scenarios","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"Low threats","1482","152","101","346","-89.7435897435898","51","12","8","17","-76.4705882352941","7","3","3","3","-57.1428571428571"
"Medium threats","1490","156","102","438","-89.5302013422819","51","14","9","18","-72.5490196078431","7","3","3","6","-57.1428571428571"
"High threats","1478","155","102","529","-89.5128552097429","51","14","9","18","-72.5490196078431","7","3","3","3","-57.1428571428571"
"Management (high) + medium threats","1462","153","102","389","-89.5348837209302","51","14","9","18","-72.5490196078431","7","3","2","3","-57.1428571428571"
"Management (low) + medium threats","1476","152","103","335","-89.7018970189702","51","12","8","16","-76.4705882352941","7","3","2","4","-57.1428571428571"
"Management (very low) + medium threats","1502","152","103","347","-89.8801597869507","51","12","8","16","-76.4705882352941","7","3","2","3","-57.1428571428571"
"Low threats","2802","127","83","441","-95.4675231977159","41","10","6","14","-75.609756097561","16","4","2","8","-75"
"Medium threats","2816","128","82","619","-95.4545454545455","41","10","6","14","-75.609756097561","16","3.5","2","10","-78.125"
"High threats","2813","129","82","506","-95.4141485958052","41","11","7","15","-73.1707317073171","16","3","2","9","-81.25"
"Management (high) + medium threats","2824","128","82","519","-95.4674220963173","41","10","7","14","-75.609756097561","16","3.5","2","8","-78.125"
"Management (low) + medium threats","2812","136","82","596","-95.1635846372689","41","10","6","14","-75.609756097561","16","4","2","7","-75"
"Management (very low) + medium threats","2791","124","82","431","-95.557147975636","41","9","5","12","-78.0487804878049","16","4","2","6","-75"
"Low threats","19006","504","198","3548","-97.348205829738","97","31","25","37","-68.0412371134021","50","21","8.75","33.25","-58"
"Medium threats","19226","468","196","3538","-97.5657963174867","97","31","25","37","-68.0412371134021","50","23","8","32.25","-54"
"High threats","19004","450","200","4078","-97.6320774573774","97","32","26","38","-67.0103092783505","50","22","9","32","-56"
"Management (high) + medium threats","18979","508","200","4012","-97.3233573950155","97","31","25","37","-68.0412371134021","50","21","8","36","-58"
"Management (low) + medium threats","19370","476","199","3257","-97.5425916365514","97","31","25","38","-68.0412371134021","50","21","9","34.25","-58"
"Management (very low) + medium threats","19192","392","196","3347","-97.9574822842851","97","30","24","36","-69.0721649484536","50","20.5","10","33.25","-59"
"Low threats","13960","369","220","2993","-97.3567335243553","110","39","32.925","46","-64.5454545454545","44","19","9","26.25","-56.8181818181818"
"Medium threats","13982","367","220","2263","-97.3751966814476","110","38","31","45","-65.4545454545455","44","20","9","25.25","-54.5454545454545"
"High threats","13969","374","222","2996","-97.3226429952037","110","38","31","45","-65.4545454545455","44","18.5","9","25","-57.9545454545455"
"Management (high) + medium threats","13993","372","221","3057","-97.3415279068105","110","39","33","46","-64.5454545454545","44","18","9","26","-59.0909090909091"
"Management (low) + medium threats","13893","376","222","2312","-97.2936010940762","110","36","30","43","-67.2727272727273","44","17","10","25","-61.3636363636364"
"Management (very low) + medium threats","14072","345","219","2301","-97.5483229107447","110","36","30","43","-67.2727272727273","44","16","8","24.5","-63.6363636363636"
"Low threats","32434","1082","314","19486","-96.6639945735956","158","51","43","58","-67.7215189873418","87","30","17","49.75","-65.5172413793103"
"Medium threats","32630","1023","312","20305","-96.8648482991112","158","51","43","58","-67.7215189873418","87","32","18","51.25","-63.2183908045977"
"High threats","32464","916","300","17980","-97.1784130113356","158","50","42","57","-68.3544303797468","87","27","18","51.25","-68.9655172413793"
"Management (high) + medium threats","32294","1061","304","17185","-96.7145599801821","158","51","44","58","-67.7215189873418","87","31.5","18","50.25","-63.7931034482759"
"Management (low) + medium threats","32479","904","308","19896","-97.2166630746021","158","49","41","56","-68.9873417721519","87","29","17","51","-66.6666666666667"
"Management (very low) + medium threats","32814","936","307","16452","-97.1475589687329","158","48","41","55","-69.620253164557","87","32.5","18","50.25","-62.6436781609195"
