"Scenario","Extant","ExtantPerc","VLikelyExtant","VLikelyExtantPerc","LikelyExtant","LikelyExtantPerc","UnlikelyExtant","UnlikelyExtantPerc"
"Status quo",0,0,14,0.0306345733041575,86,0.188183807439825,357,0.781181619256017
"Survival (high)",1,0.00218818380743982,79,0.172866520787746,182,0.398249452954048,195,0.426695842450766
"Survival (low)",0,0,2,0.00437636761487965,17,0.037199124726477,438,0.958424507658643
"Survival (very low)",0,0,0,0,4,0.0087527352297593,453,0.991247264770241
"Max density (high)",1,0.00218818380743982,14,0.0306345733041575,86,0.188183807439825,356,0.778993435448578
"Max density (low)",1,0.00218818380743982,11,0.0240700218818381,97,0.212253829321663,348,0.761487964989059
"Immigration (very high)",11,0.0240700218818381,64,0.140043763676149,155,0.339168490153173,227,0.49671772428884
"Immigration (high)",1,0.00218818380743982,21,0.0459518599562363,133,0.291028446389497,302,0.660831509846827
"Immigration (zero)",0,0,3,0.00656455142231947,36,0.0787746170678337,418,0.914660831509847
"Climate warming (low)",0,0,9,0.0196936542669584,106,0.231947483588621,342,0.74835886214442
"Climate warming (medium)",1,0.00218818380743982,12,0.0262582056892779,99,0.216630196936543,345,0.75492341356674
"Climate warming (high)",0,0,13,0.0284463894967177,103,0.225382932166302,341,0.74617067833698
"Sea-level rise (low)",0,0,7,0.0153172866520788,95,0.207877461706783,355,0.776805251641138
"Sea-level rise (medium)",0,0,9,0.0196936542669584,90,0.196936542669584,358,0.783369803063457
"Sea-level rise (high)",0,0,10,0.0218818380743982,102,0.223194748358862,345,0.75492341356674
"Urbanization (low)",1,0.00218818380743982,8,0.0175054704595186,71,0.155361050328228,377,0.824945295404814
"Urbanization (medium)",0,0,10,0.0218818380743982,71,0.155361050328228,376,0.822757111597374
"Urbanization (high)",0,0,5,0.0109409190371991,78,0.170678336980306,374,0.818380743982494
"Management (high)",0,0,8,0.0175054704595186,108,0.236323851203501,341,0.74617067833698
"Management (low)",0,0,10,0.0218818380743982,85,0.185995623632385,362,0.792122538293217
"Management (very low)",1,0.00218818380743982,8,0.0175054704595186,81,0.177242888402626,367,0.803063457330416
"Low threats",0,0,10,0.0218818380743982,88,0.192560175054705,359,0.785557986870897
"Medium threats",0,0,9,0.0196936542669584,90,0.196936542669584,358,0.783369803063457
"High threats",1,0.00218818380743982,12,0.0262582056892779,87,0.190371991247265,357,0.781181619256017
"Management (high) + medium threats",0,0,13,0.0284463894967177,81,0.177242888402626,363,0.794310722100656
"Management (low) + medium threats",0,0,6,0.0131291028446389,78,0.170678336980306,373,0.816192560175055
"Management (very low) + medium threats",0,0,7,0.0153172866520788,75,0.164113785557987,375,0.820568927789934
"Survival (high) + medium threats",5,0.0109409190371991,69,0.150984682713348,167,0.365426695842451,216,0.472647702407002
"Survival (low) + medium threats",0,0,1,0.00218818380743982,14,0.0306345733041575,442,0.967177242888403
"Immigration (very high) + medium threats",12,0.0262582056892779,47,0.102844638949672,166,0.363238512035011,232,0.507658643326039
"Immigration (high) + medium threats",3,0.00656455142231947,18,0.0393873085339169,131,0.286652078774617,305,0.667396061269147
"Immigration (zero) + medium threats",0,0,5,0.0109409190371991,41,0.0897155361050328,411,0.899343544857768
