"Scenarios","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"Low threats","1482","164","104","415","-88.9338731443995","51","18","14","23","-64.7058823529412","7","3","3","5","-57.1428571428571"
"Medium threats","1478","161","103","453","-89.106901217862","51","18","13","23","-64.7058823529412","7","3","3","6","-57.1428571428571"
"High threats","1518","161","105","514","-89.3939393939394","51","18","14","23","-64.7058823529412","7","3","3","4","-57.1428571428571"
"Management (high) + medium threats","1480","167","103","516","-88.7162162162162","51","19","14","23.075","-62.7450980392157","7","3","3","4","-57.1428571428571"
"Management (low) + medium threats","1506","162","102","406","-89.2430278884462","51","17","13","22","-66.6666666666667","7","3","3","6","-57.1428571428571"
"Management (very low) + medium threats","1481","162","103","408","-89.0614449696151","51","17","13","22","-66.6666666666667","7","3","3","4","-57.1428571428571"
"Low threats","2824","135","84","493","-95.2195467422096","41","14","10","18","-65.8536585365854","16","5","2","9","-68.75"
"Medium threats","2819","134","85","576","-95.2465413267116","41","14","10","18","-65.8536585365854","16","5","2","7","-68.75"
"High threats","2808","134","84","518","-95.2279202279202","41","14","10","18","-65.8536585365854","16","5","2","10","-68.75"
"Management (high) + medium threats","2794","143","85","663","-94.8818897637795","41","14","10","18","-65.8536585365854","16","6","3","8","-62.5"
"Management (low) + medium threats","2820","132","85","585","-95.3191489361702","41","13","9","17","-68.2926829268293","16","6","2","9.25","-62.5"
"Management (very low) + medium threats","2788","129","82","504","-95.3730272596844","41","12","8","16","-70.7317073170732","16","4","2","8","-75"
"Low threats","19294","6318","2481","14809","-67.2540686223696","97","45","39","50","-53.6082474226804","50","24","18","33.25","-52"
"Medium threats","18965","6506","2094","14930","-65.6947007645663","97","44","38","49","-54.639175257732","50","27.5","14","35","-45"
"High threats","19080","6274","1647","16168","-67.1174004192872","97","43","37","49","-55.6701030927835","50","23.5","12","35","-53"
"Management (high) + medium threats","19104","6378","3315","15115","-66.6143216080402","97","45","38","51","-53.6082474226804","50","26","14.5","37","-48"
"Management (low) + medium threats","19129","6304","1385","15165","-67.0448010873543","97","42","36","48","-56.701030927835","50","22.5","17","34.25","-55"
"Management (very low) + medium threats","19124","6150","1974","14496","-67.8414557623928","97","43","37","49","-55.6701030927835","50","24","14","35","-52"
"Low threats","14072","2509","761","7405","-82.1702671972712","110","48","42","55","-56.3636363636364","44","18.5","11","29.25","-57.9545454545455"
"Medium threats","14087","2583","811","7908","-81.6639454816497","110","46","40","53","-58.1818181818182","44","17","12","27","-61.3636363636364"
"High threats","14026","2494","886","8490","-82.2187366319692","110","47","41","54","-57.2727272727273","44","17","10","26.25","-61.3636363636364"
"Management (high) + medium threats","14028","2618","899","8231","-81.3373253493014","110","49","42","55","-55.4545454545455","44","20","12","27","-54.5454545454545"
"Management (low) + medium threats","14040","2552","782","7763","-81.8233618233618","110","47","41","54","-57.2727272727273","44","19","10","31","-56.8181818181818"
"Management (very low) + medium threats","14052","2466","761","7363","-82.4508966695132","110","45","39","52","-59.0909090909091","44","18","11","27.5","-59.0909090909091"
"Low threats","32437","10534","5493","33217","-67.5247402657459","158","60","53","67","-62.0253164556962","87","35","18.75","52.75","-59.7701149425287"
"Medium threats","32334","10150","3938","32273","-68.6088946619657","158","59","52","66","-62.6582278481013","87","33","20","49","-62.0689655172414"
"High threats","32670","9890","3539","31673","-69.7275788184879","158","58","51","65","-63.2911392405063","87","30","21","48","-65.5172413793103"
"Management (high) + medium threats","32452","9910","4433","31988","-69.4625909034882","158","59","52","66","-62.6582278481013","87","32","16.75","52","-63.2183908045977"
"Management (low) + medium threats","32573","9860","5667","31166","-69.7295305928223","158","60","53","67","-62.0253164556962","87","31.5","18","50.25","-63.7931034482759"
"Management (very low) + medium threats","32522","9909","3811","31824","-69.5313941332021","158","58","51","65","-63.2911392405063","87","32","19","50","-63.2183908045977"
