"Scenario","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"Status quo",69952,21783,11317,57413,-68.8600754803294,457,194.5,184,209,-57.4398249452954,202,89,54,140,-55.9405940594059
"Survival (high)",69957,26430,12721,92383,-62.219649213088,457,276,264.425,293.15,-39.6061269146608,202,134,90,170,-33.6633663366337
"Survival (low)",69733,17980,8301,42821,-74.2159379346938,457,127.5,116.425,139,-72.1006564551422,202,51,38,92,-74.7524752475248
"Survival (very low)",69648,14846,4502,33946,-78.6842407535033,457,82,74.425,89,-82.0568927789934,202,36.5,28,58,-81.9306930693069
"Max density (high)",70324,37933,16828,99003,-46.0596666856265,457,194.5,183,205,-57.4398249452954,202,90.5,54,138,-55.1980198019802
"Max density (low)",69824,12308,5961,37497,-82.3728230980752,457,197,185,207,-56.8927789934354,202,90,55,131,-55.4455445544555
"Immigration (very high)",69907,77304,39015,181729,10.5812007381235,457,302,291.425,314,-33.9168490153173,202,149,98,187,-26.2376237623762
"Immigration (high)",70334,39669,21439,92127,-43.599112804618,457,246,232.425,258.575,-46.1706783369803,202,113.5,67,163,-43.8118811881188
"Immigration (zero)",69822,1496,910,12320,-97.8574088396207,457,81.5,71.85,91.575,-82.1663019693654,202,56,21,103,-72.2772277227723
"Climate warming (low)",69806,21812,9759,65322,-68.7534022863364,457,199,186,209.575,-56.4551422319475,202,90,54,136,-55.4455445544555
"Climate warming (medium)",69816,21272,10501,66490,-69.5313395210267,457,199.5,189.425,215.575,-56.3457330415755,202,96.5,59,138,-52.2277227722772
"Climate warming (high)",70064,22290,10203,69081,-68.1862297328157,457,201,188,210,-56.0175054704595,202,97.5,60,142,-51.7326732673267
"Sea-level rise (low)",69659,21351,10221,57718,-69.3492585308431,457,192.5,179.425,207,-57.8774617067834,202,88.5,52,130,-56.1881188118812
"Sea-level rise (medium)",70492,21409,9434,58071,-69.6291777790388,457,191,180,206,-58.2056892778993,202,86.5,55,134,-57.1782178217822
"Sea-level rise (high)",69759,21554,8872,61471,-69.1021946988919,457,195,179,207,-57.3304157549234,202,87.5,56,132,-56.6831683168317
"Urbanization (low)",69682,18985,8078,49376,-72.754800378864,457,180,168,194,-60.6126914660831,202,82,52,130,-59.4059405940594
"Urbanization (medium)",69594,18202,7179,46064,-73.8454464465327,457,176,164,191.15,-61.4879649890591,202,79.5,49,128,-60.6435643564356
"Urbanization (high)",70012,18392,7436,47376,-73.7302176769697,457,174,163,185,-61.925601750547,202,76,47,121,-62.3762376237624
"Management (high)",70038,20864,9852,60440,-70.2104571803878,457,197.5,184,212.575,-56.7833698030635,202,94.5,56,138,-53.2178217821782
"Management (low)",69966,21164,11200,56065,-69.751021924935,457,191.5,179,204.725,-58.0962800875274,202,87,51,136,-56.9306930693069
"Management (very low)",70018,20814,9250,55589,-70.2733582792996,457,183.5,173,200.575,-59.8468271334792,202,80,50,129,-60.3960396039604
"Low threats",70110,19660,8923,56339,-71.958351162459,457,186,173,197,-59.2997811816193,202,84.5,53,132,-58.1683168316832
"Medium threats",69683,19534,7031,56140,-71.9673378011854,457,180.5,170.425,193,-60.5032822757112,202,84,50,123,-58.4158415841584
"High threats",70102,18954,6261,57363,-72.9622549998574,457,180,169,190.575,-60.6126914660831,202,78,52,122,-61.3861386138614
"Management (high) + medium threats",69857,19217,8835,56513,-72.4909457892552,457,184.5,173.85,196.575,-59.6280087527352,202,86,50,130,-57.4257425742574
"Management (low) + medium threats",70068,19010,8021,55085,-72.8692127647428,457,180,166.425,191,-60.6126914660831,202,85,48,125,-57.9207920792079
"Management (very low) + medium threats",69968,18815,6731,54595,-73.1091356048479,457,175,163.425,188.575,-61.7067833698031,202,79.5,50,125,-60.6435643564356
"Survival (high) + medium threats",69384,24756,12209,90650,-64.3203043929436,457,265.5,254,275.575,-41.9037199124726,202,121,83,168,-40.0990099009901
"Survival (low) + medium threats",70214,15968,5338,36846,-77.2580966758766,457,115,107,125,-74.835886214442,202,49,33,82,-75.7425742574257
"Immigration (very high) + medium threats",69611,71728,32611,164296,3.04118601945095,457,282,267,295,-38.2932166301969,202,130.5,90,174,-35.3960396039604
"Immigration (high) + medium threats",70222,34480,18160,92946,-50.8985787929709,457,229,216.425,238,-49.890590809628,202,98.5,65,148,-51.2376237623762
"Immigration (zero) + medium threats",69640,1566,887,16632,-97.7512923607122,457,81,73,91,-82.2757111597374,202,53,22,100,-73.7623762376238
