"Scenario","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"Status quo",69952,21822,11320,57522,-68.8043229643184,457,194.5,184,209,-57.4398249452954,202,89,54,140,-55.9405940594059
"Survival (high)",70129,26516,13000,90804,-62.1896790200915,457,279,264,289.575,-38.9496717724289,202,129,95,174,-36.1386138613861
"Survival (low)",69600,17648,6236,43642,-74.6436781609195,457,129,120,139,-71.7724288840263,202,54.5,40,93,-73.019801980198
"Survival (very low)",69580,14476,4699,35737,-79.1951710261569,457,84,74,92.575,-81.6192560175055,202,40.5,28,57,-79.950495049505
"Max density (high)",69840,55618,18517,3913484,-20.3636884306987,457,192,179.425,206.575,-57.9868708971554,202,89.5,51,140,-55.6930693069307
"Max density (low)",69812,12570,5757,37108,-81.9944995129777,457,193,182,207,-57.7680525164114,202,87.5,56,130,-56.6831683168317
"Immigration (very high)",69457,79156,39529,5683369,13.9640353024173,457,303,290.425,313,-33.6980306345733,202,148.5,99,185,-26.4851485148515
"Immigration (high)",69807,41039,21546,111954,-41.2107668285416,457,244,235.425,256,-46.6083150984683,202,112,72,160,-44.5544554455446
"Immigration (zero)",70048,1526,910,12407,-97.8214938328004,457,81,71,89.575,-82.2757111597374,202,56.5,20,95,-72.029702970297
"Climate warming (low)",69913,22314,10744,63834,-68.0831891064609,457,198,186.425,212.575,-56.6739606126915,202,95.5,56,136,-52.7227722772277
"Climate warming (medium)",69992,21686,9671,69588,-69.0164590238884,457,202.5,187,215.575,-55.6892778993436,202,95,58,137,-52.970297029703
"Climate warming (high)",70284,22686,10545,68861,-67.7223834727676,457,202,190,214,-55.7986870897155,202,94.5,56,138,-53.2178217821782
"Sea-level rise (low)",70251,21243,10743,57420,-69.7612845368749,457,195,184.425,206,-57.3304157549234,202,94.5,52,139,-53.2178217821782
"Sea-level rise (medium)",69612,21124,10357,55519,-69.6546572430041,457,191,179.85,205,-58.2056892778993,202,89,56,136,-55.9405940594059
"Sea-level rise (high)",69801,21794,9632,61331,-68.7769516196043,457,194,180,203.575,-57.5492341356674,202,93,54,133,-53.960396039604
"Urbanization (low)",69860,19140,8594,49813,-72.6023475522474,457,179,167.85,193.15,-60.8315098468271,202,84,50,123,-58.4158415841584
"Urbanization (medium)",69990,18469,6906,46758,-73.6119445635091,457,176,163,189.575,-61.4879649890591,202,76,47,123,-62.3762376237624
"Urbanization (high)",69960,18070,5402,45432,-74.1709548313322,457,175,162.85,186,-61.7067833698031,202,76,49,120,-62.3762376237624
"Management (high)",69928,21671,9843,55531,-69.0095526827594,457,199.5,185,210.575,-56.3457330415755,202,94,60,138,-53.4653465346535
"Management (low)",70307,20786,10688,58966,-70.4353762783222,457,192,181.85,206,-57.9868708971554,202,89,56,133,-55.9405940594059
"Management (very low)",69594,21046,9735,56461,-69.758887260396,457,190,178,200,-58.4245076586433,202,85.5,53,132,-57.6732673267327
"Low threats",69882,19606,7902,56748,-71.9441343979852,457,183.5,172,194.575,-59.8468271334792,202,77,49,130,-61.8811881188119
"Medium threats",69588,19182,8127,57446,-72.4349025694085,457,184,172,192,-59.7374179431072,202,78.5,47,125,-61.1386138613861
"High threats",69732,18606,5839,57390,-73.3178454654965,457,180,166,188,-60.6126914660831,202,75.5,51,121,-62.6237623762376
"Management (high) + medium threats",69633,18965,7983,56671,-72.7643502362386,457,185,173.425,199,-59.5185995623632,202,83.5,50,133,-58.6633663366337
"Management (low) + medium threats",69830,19048,8113,54077,-72.7223256480023,457,177,168.425,192,-61.2691466083151,202,78.5,49,126,-61.1386138613861
"Management (very low) + medium threats",70120,19388,8130,54581,-72.3502567027952,457,178.5,163,191.575,-60.9409190371991,202,84,50,121,-58.4158415841584
"Survival (high) + medium threats",69778,24283,10904,99465,-65.1996331221875,457,262,253.425,277.575,-42.6695842450766,202,126,84,162,-37.6237623762376
"Survival (low) + medium threats",69596,16269,6212,36648,-76.6236565319846,457,117,106.425,127.575,-74.398249452954,202,48.5,33,92,-75.990099009901
"Immigration (very high) + medium threats",70089,78286,31403,3261795,11.695130476965,457,283,271.425,293.575,-38.074398249453,202,134,86,176,-33.6633663366337
"Immigration (high) + medium threats",70702,34112,18816,96468,-51.7524256739555,457,231,217.425,242,-49.45295404814,202,101.5,61,148,-49.7524752475247
"Immigration (zero) + medium threats",70049,1500,891,14694,-97.8586418078773,457,82,70,92,-82.0568927789934,202,47.5,20,106,-76.4851485148515
