"Scenario","Extant","ExtantPerc","VLikelyExtant","VLikelyExtantPerc","LikelyExtant","LikelyExtantPerc","UnlikelyExtant","UnlikelyExtantPerc"
"Status quo",26,0.0568927789934354,29,0.0634573304157549,113,0.2472647702407,289,0.632385120350109
"Survival (high)",42,0.0919037199124726,87,0.190371991247265,182,0.398249452954048,146,0.319474835886214
"Survival (low)",21,0.0459518599562363,15,0.0328227571115974,39,0.0853391684901532,382,0.835886214442013
"Survival (very low)",17,0.037199124726477,11,0.0240700218818381,24,0.0525164113785558,405,0.886214442013129
"Max density (high)",31,0.0678336980306346,22,0.0481400437636762,109,0.238512035010941,295,0.645514223194748
"Max density (low)",29,0.0634573304157549,26,0.0568927789934354,105,0.229759299781182,297,0.649890590809628
"Immigration (very high)",94,0.205689277899344,82,0.179431072210066,150,0.328227571115974,131,0.286652078774617
"Immigration (high)",52,0.113785557986871,44,0.0962800875273523,154,0.336980306345733,207,0.452954048140044
"Immigration (zero)",0,0,2,0.00437636761487965,35,0.0765864332603939,420,0.919037199124726
"Climate warming (low)",30,0.0656455142231947,28,0.0612691466083151,106,0.231947483588621,293,0.641137855579869
"Climate warming (medium)",34,0.074398249452954,26,0.0568927789934354,113,0.2472647702407,284,0.62144420131291
"Climate warming (high)",33,0.0722100656455142,27,0.0590809628008753,111,0.242888402625821,286,0.62582056892779
"Sea-level rise (low)",30,0.0656455142231947,26,0.0568927789934354,112,0.24507658643326,289,0.632385120350109
"Sea-level rise (medium)",28,0.0612691466083151,27,0.0590809628008753,107,0.234135667396061,295,0.645514223194748
"Sea-level rise (high)",26,0.0568927789934354,30,0.0656455142231947,108,0.236323851203501,293,0.641137855579869
"Urbanization (low)",27,0.0590809628008753,16,0.0350109409190372,108,0.236323851203501,306,0.669584245076586
"Urbanization (medium)",24,0.0525164113785558,21,0.0459518599562363,102,0.223194748358862,310,0.678336980306346
"Urbanization (high)",23,0.050328227571116,22,0.0481400437636762,90,0.196936542669584,322,0.704595185995624
"Management (high)",29,0.0634573304157549,30,0.0656455142231947,108,0.236323851203501,290,0.634573304157549
"Management (low)",31,0.0678336980306346,24,0.0525164113785558,106,0.231947483588621,296,0.647702407002188
"Management (very low)",31,0.0678336980306346,22,0.0481400437636762,101,0.221006564551422,303,0.663019693654267
"Low threats",27,0.0590809628008753,19,0.0415754923413567,101,0.221006564551422,310,0.678336980306346
"Medium threats",23,0.050328227571116,21,0.0459518599562363,105,0.229759299781182,308,0.673960612691466
"High threats",25,0.0547045951859956,17,0.037199124726477,109,0.238512035010941,306,0.669584245076586
"Management (high) + medium threats",26,0.0568927789934354,22,0.0481400437636762,113,0.2472647702407,296,0.647702407002188
"Management (low) + medium threats",27,0.0590809628008753,23,0.050328227571116,91,0.199124726477024,316,0.691466083150985
"Management (very low) + medium threats",27,0.0590809628008753,17,0.037199124726477,97,0.212253829321663,316,0.691466083150985
"Survival (high) + medium threats",33,0.0722100656455142,83,0.181619256017505,179,0.391684901531729,162,0.354485776805252
"Survival (low) + medium threats",20,0.0437636761487965,10,0.0218818380743982,32,0.0700218818380744,395,0.864332603938731
"Immigration (very high) + medium threats",84,0.183807439824945,78,0.170678336980306,132,0.288840262582057,163,0.356673960612691
"Immigration (high) + medium threats",46,0.100656455142232,44,0.0962800875273523,131,0.286652078774617,236,0.516411378555799
"Immigration (zero) + medium threats",0,0,2,0.00437636761487965,34,0.074398249452954,421,0.921225382932166
