"OBJECTID","LandscapePopID"
1,4
3,6
5,11
9,10
11,13
15,16
18,16
19,16
20,20
21,23
22,23
23,23
27,18
28,26
29,19
30,23
31,26
32,23
33,22
36,26
38,23
40,23
45,23
46,23
49,23
51,23
54,23
56,23
58,25
59,32
60,31
61,31
62,31
63,31
64,28
65,31
66,31
67,31
71,40
72,44
73,44
76,33
77,44
78,44
80,36
81,44
83,42
85,42
87,38
88,48
89,43
90,48
91,46
94,45
96,50
97,50
98,54
99,50
100,51
102,56
103,57
104,51
107,59
108,57
109,58
110,62
111,64
112,61
114,64
115,62
116,63
117,62
118,65
120,66
121,66
123,37
124,35
125,52
126,69
128,67
129,68
130,70
131,71
133,74
134,74
135,74
136,74
137,76
138,76
139,76
140,76
141,76
142,76
143,80
144,81
146,81
147,79
148,86
149,83
150,85
152,91
153,91
154,90
155,91
156,91
157,88
158,90
159,90
161,91
162,90
163,90
164,95
165,95
167,95
168,99
169,110
170,110
172,106
173,110
174,106
175,106
178,106
182,106
183,127
184,106
186,106
187,93
189,112
190,127
191,106
192,98
193,109
194,98
196,117
198,106
199,127
201,106
202,106
203,127
204,119
205,113
206,102
207,113
208,113
209,113
212,121
214,115
217,121
218,113
222,121
227,124
228,125
229,121
230,125
231,120
234,126
235,118
236,83
237,89
238,89
241,118
244,122
247,7
248,23
249,57
250,108
251,105
255,114
256,128
258,131
259,23
260,66
261,34
262,119
263,73
264,92
265,75
266,130
267,27
268,56
269,47
270,84
271,55
272,55
273,55
274,55
275,73
276,73
277,39
278,112
281,71
282,92
283,150
284,163
285,176
286,152
287,165
288,190
289,138
290,141
291,134
292,141
293,138
294,139
295,185
296,171
297,172
298,154
299,139
300,180
301,145
302,189
303,178
304,151
305,139
306,138
307,179
308,193
309,180
310,160
311,162
312,188
313,172
314,192
315,138
316,165
317,189
318,171
319,154
320,159
321,161
322,137
323,132
324,133
325,136
326,158
327,138
328,143
329,149
330,138
331,172
332,156
333,167
334,190
335,190
336,140
337,138
338,165
339,189
340,147
341,184
342,177
343,183
344,179
345,189
346,135
347,155
348,142
349,176
350,165
351,180
352,148
353,160
354,172
355,139
356,146
357,192
358,177
359,182
360,189
361,141
362,165
363,166
364,186
365,144
366,138
367,170
368,164
369,174
370,181
371,133
372,138
373,121
374,172
375,172
376,172
377,172
378,139
379,139
380,139
381,180
382,188
383,165
384,171
385,143
386,192
387,172
388,180
389,180
390,180
391,180
392,180
393,180
394,180
397,180
398,180
400,180
401,180
402,175
404,180
406,180
407,180
410,180
411,180
412,180
413,180
414,180
415,140
416,140
417,140
418,140
419,140
420,140
421,165
422,135
423,135
424,141
425,169
426,168
427,173
429,187
430,153
431,157
432,166
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,1
456,1
457,1
458,2
459,195
460,195
467,201
468,199
470,201
473,201
475,201
477,202
481,204
482,204
485,204
487,204
488,204
489,204
491,204
492,204
497,204
498,204
500,204
501,204
503,204
505,205
509,205
510,205
511,205
512,205
514,205
518,205
520,205
521,205
522,205
523,205
525,205
526,205
527,205
529,205
531,205
532,205
533,205
534,205
535,204
546,204
549,204
550,204
551,204
552,204
556,204
561,204
563,204
564,204
565,206
566,208
567,207
568,206
569,206
570,209
571,210
572,211
573,212
587,216
594,213
595,212
596,218
598,219
600,224
601,225
602,50
603,226
604,227
605,228
606,229
607,110
608,95
609,232
610,71
611,234
612,235
613,236
614,237
615,22
616,238
617,239
618,240
619,241
620,28
621,243
622,244
623,245
624,246
625,247
626,248
627,249
628,50
629,50
630,251
631,252
632,248
633,253
